	Unnamed: 0	name/period	Crime	Economic_situation/cohesion	Budget	Euro	Banking	Taxation	Employment	Terrorism/cfsp/military	Immigration	Immigration/Schengen/asylum	Climate_change	Energy_supply
0	0	html_no	51.0	4.0	9.0	10.0	24.0	49.0	18.0	34.0	41.0	40.0	20.0	62.0
1	1	topic_no	11.0	67.0	54.0	15.0	23.0	39.0	72.0	57.0	48.0	7.0	35.0	12.0
2	0	1	0.03	0.596	0.644	0.178	0.449	0.231	0.099	0.095	0.0	0.04	0.417	0.159
3	1	2	0.0	0.033	0.033	0.031	0.931	0.064	0.006	0.0	0.014	0.0	0.111	0.0
4	2	3	0.062	0.034	0.357	0.016	0.349	0.096	0.044	0.124	0.0	0.199	0.173	0.114
5	3	4	0.032	0.507	0.885	0.095	0.229	0.129	0.106	0.148	0.007	0.121	0.27	0.131
6	4	5	0.019	0.302	1.492	0.057	0.41	0.187	0.202	0.292	0.002	0.202	0.234	0.084
7	5	6	0.049	0.187	0.723	0.134	0.276	0.147	0.048	0.077	0.008	0.231	0.101	0.026
8	6	7	0.056	0.967	0.876	0.125	0.378	0.236	0.087	0.075	0.011	0.399	0.257	0.06
9	7	8	0.049	0.048	0.893	0.024	0.557	0.345	0.071	0.104	0.001	0.107	0.148	0.091
10	8	9	0.03	0.152	0.718	0.253	0.43	0.216	0.07	0.159	0.009	0.322	0.285	0.112
11	9	10	0.039	0.227	0.373	0.012	0.221	0.214	0.051	0.058	0.026	0.165	0.227	0.045
12	10	11	0.117	0.213	0.884	0.094	0.336	0.137	0.075	0.308	0.015	0.167	0.192	0.101
13	11	12	0.068	0.58	2.29	0.077	0.479	0.266	0.064	0.376	0.009	0.642	0.392	0.256
14	12	13	0.052	0.645	1.39	0.197	0.38	0.548	0.33	0.796	0.003	1.24	0.116	0.078
15	13	14	0.062	0.253	1.271	0.673	0.383	0.412	0.087	1.334	0.022	0.587	0.099	0.34
16	14	15	0.039	0.423	0.873	0.268	0.812	1.044	0.093	0.83	0.012	0.292	0.317	0.314
17	15	16	0.175	0.299	0.858	0.388	0.311	0.357	0.21	1.488	0.084	0.389	0.131	0.2
18	16	17	0.1	0.474	1.639	0.194	0.893	0.366	0.079	0.319	0.019	0.152	0.562	0.093
19	17	18	0.083	0.495	1.16	0.275	0.483	0.463	0.203	1.081	0.041	1.161	0.337	0.23
20	18	19	0.104	0.657	1.394	0.489	0.481	0.59	0.081	0.536	0.074	0.601	0.316	0.221
21	19	20	0.035	0.229	0.891	0.106	0.491	0.315	0.019	0.646	0.024	0.86	0.36	0.098
22	20	21	0.064	0.523	1.178	0.171	1.207	0.084	0.058	0.906	0.026	0.726	0.479	0.104
23	21	22	0.055	0.282	1.15	0.51	0.635	0.281	0.073	0.977	0.051	0.673	0.146	0.188
24	22	23	0.06	0.345	1.55	0.993	0.711	0.247	0.095	0.477	0.012	0.72	0.508	0.024
25	23	24	0.082	0.498	1.595	0.322	0.588	0.473	0.089	2.344	0.011	0.774	0.277	0.111
26	24	25	0.034	0.541	1.27	1.741	0.838	0.457	0.184	4.001	0.013	0.844	0.333	0.149
27	25	26	0.117	0.448	2.367	0.551	1.36	0.352	0.43	1.608	0.01	0.508	0.349	0.188
28	26	27	0.04	0.619	1.056	0.5	0.755	0.352	0.492	2.113	0.021	1.135	0.618	0.106
29	27	28	0.034	0.372	1.832	0.565	1.285	0.24	0.273	1.552	0.049	0.621	0.465	0.154
30	28	29	0.181	0.711	2.211	0.923	1.079	0.794	0.451	2.092	0.01	1.034	0.894	0.14
31	29	30	0.015	0.708	1.04	0.586	1.143	0.271	0.059	3.196	0.01	0.561	0.66	0.064
32	30	31	0.04	1.028	2.04	1.989	0.977	0.22	0.058	2.964	0.007	0.896	0.742	0.179
33	31	32	0.029	0.637	1.974	0.536	0.67	0.378	0.089	1.696	0.008	0.326	0.805	0.056
34	32	33	0.03	1.001	1.938	0.783	1.881	0.225	0.171	2.75	0.004	0.72	0.736	0.19
35	33	34	0.053	0.284	1.147	0.094	0.83	0.563	0.056	1.895	0.016	0.48	0.732	0.063
36	34	35	0.021	0.48	0.681	0.744	0.974	0.133	0.208	1.692	0.009	0.567	0.499	0.054
37	35	36	0.118	0.524	0.838	0.507	2.359	0.288	0.103	2.379	0.031	0.923	0.745	0.124
38	36	37	0.087	0.295	0.871	0.75	0.913	0.182	0.114	1.284	0.026	0.686	0.704	0.162
39	37	38	0.127	0.348	0.836	0.172	1.542	0.289	0.024	2.238	0.021	0.759	0.681	0.183
40	38	39	0.22	0.658	0.989	0.993	1.01	0.291	0.14	2.709	0.067	1.081	0.501	0.111
41	39	40	0.071	0.136	0.853	1.031	3.769	0.439	0.062	2.09	0.012	0.886	0.612	0.104
